"id","success","big_hit","backers_count"
537436525,"NO","NO",0
1315773773,"NO","NO",116
957603782,"NO","NO",8
1536107934,"NO","NO",15
255871414,"NO","NO",0
553293232,"NO","NO",0
723198782,"NO","NO",14
307630146,"NO","NO",4
182973022,"NO","NO",0
556335818,"YES","YES",1456
1995437784,"YES","NO",129
490825602,"YES","NO",51
269913449,"NO","NO",6
968886956,"NO","NO",4
1602449293,"YES","NO",26
2037770745,"NO","NO",5
802753596,"YES","YES",34
2134027615,"YES","NO",31
1003723279,"NO","NO",1
1797306242,"NO","NO",3
144147450,"NO","NO",8
2031004530,"YES","NO",441
424963885,"NO","NO",8
1921193134,"NO","NO",2
1816480940,"NO","NO",31
482159834,"NO","NO",5
1293471518,"YES","NO",54
2006431270,"NO","NO",0
1391108615,"NO","NO",1
470390411,"NO","NO",0
294221445,"NO","NO",4
176578413,"NO","NO",24
208621761,"YES","NO",14
85406509,"YES","NO",29
1155295239,"NO","NO",1
593576113,"NO","NO",14
1952620799,"YES","NO",336
309272448,"NO","NO",34
694327700,"YES","NO",45
867983050,"YES","NO",59
1058869683,"YES","NO",18
625591931,"YES","NO",18
1465929664,"NO","NO",27
1595236700,"YES","NO",30
251280071,"NO","NO",8
2100660802,"YES","NO",30
301307930,"NO","NO",12
112248544,"YES","NO",34
374056470,"NO","NO",4
656859919,"NO","NO",1
1253462927,"NO","NO",6
657368007,"NO","NO",13
262290348,"NO","NO",2
1555761465,"NO","NO",5
1752689749,"YES","NO",56
1297317694,"NO","NO",0
1129427994,"YES","NO",257
597660341,"NO","NO",41
1926323082,"NO","NO",0
487331585,"YES","NO",25
1219041394,"NO","NO",10
2008521418,"YES","YES",96
1297842880,"NO","NO",2
1721993417,"NO","NO",40
731453701,"NO","NO",8
274455678,"NO","NO",1
561396050,"NO","NO",14
1343945642,"NO","NO",3
1218808340,"YES","YES",29
1133869695,"NO","NO",2
1760798463,"YES","NO",69
389177426,"NO","NO",5
187835960,"YES","NO",49
145136737,"NO","NO",48
1372838333,"NO","NO",17
446801515,"NO","NO",9
1381085434,"NO","NO",8
1932683176,"YES","NO",13
1685031003,"NO","NO",44
1514077627,"YES","YES",259
1238187101,"NO","NO",9
191310616,"NO","NO",18
914440932,"NO","NO",0
999778598,"NO","NO",1
2098878960,"NO","NO",10
207702168,"NO","NO",0
305924443,"NO","NO",5
193193352,"YES","NO",12
1365773399,"YES","NO",25
1351833016,"YES","NO",18
874785536,"YES","NO",5
157356381,"NO","NO",9
1354204177,"YES","YES",5631
1900290246,"YES","NO",35
1140776717,"YES","NO",2974
239321654,"YES","NO",25
1092550458,"NO","NO",4
1690732084,"NO","NO",0
1603909055,"NO","NO",1
245222291,"NO","NO",18
279025053,"YES","YES",40
1707528065,"YES","NO",91
538779515,"NO","NO",20
1646275991,"YES","YES",1260
1669602247,"YES","YES",25
1764806680,"NO","NO",16
191230809,"YES","NO",23
1912988698,"YES","NO",30
987821994,"NO","NO",147
1618331075,"NO","NO",17
137259729,"NO","NO",0
669743046,"YES","YES",2915
1434834470,"NO","NO",65
2021589021,"YES","NO",62
280664084,"YES","NO",61
1042850292,"NO","NO",70
719523822,"YES","NO",47
510449699,"NO","NO",49
904885550,"YES","NO",37
452859820,"NO","NO",1
1381288475,"YES","YES",1621
2146915448,"NO","NO",2
524560954,"NO","NO",16
1672500705,"NO","NO",5
1700621851,"NO","NO",9
1998026332,"YES","NO",23
1832598483,"NO","NO",13
248998893,"NO","NO",1
92897718,"NO","NO",0
604758008,"YES","NO",158
409218057,"YES","YES",65
119507987,"NO","NO",26
684640645,"NO","NO",1
481416562,"YES","NO",21
400636030,"NO","NO",1
673258383,"NO","NO",2
816137199,"NO","NO",10
1777452414,"YES","NO",15
607894038,"YES","YES",97
717063468,"YES","NO",157
1416294787,"YES","NO",331
348855705,"YES","NO",32
1394842304,"NO","NO",0
208968722,"NO","NO",16
502431507,"YES","NO",78
451472631,"NO","NO",2
214510608,"NO","NO",114
268039077,"YES","YES",49
1301197649,"NO","NO",1
1048355197,"NO","NO",42
1362297713,"NO","NO",6
515468039,"NO","NO",1
2132127788,"NO","NO",41
1887338748,"NO","NO",5
1192628415,"YES","NO",23
1653073508,"NO","NO",5
586986155,"NO","NO",31
1351515735,"NO","NO",47
1274370737,"NO","NO",65
105525820,"NO","NO",6
781301142,"YES","NO",41
1161726163,"YES","YES",39
1522277986,"YES","NO",26
1866990640,"YES","NO",21
2055396716,"NO","NO",0
101767263,"YES","YES",26457
2084178332,"NO","NO",0
246637157,"NO","NO",1
1429427701,"NO","NO",74
94245929,"NO","NO",40
2131551671,"YES","YES",120
640348498,"NO","NO",95
1359837221,"NO","NO",14
236613336,"NO","NO",17
2016853489,"YES","NO",14
348236314,"YES","NO",50
632012597,"YES","NO",24
1002585330,"YES","YES",226
1670635632,"YES","YES",284
1371209746,"YES","NO",108
729711093,"NO","NO",19
1449945894,"NO","NO",31
195043426,"YES","NO",235
1360811187,"YES","NO",258
238374551,"YES","NO",63
2108782211,"NO","NO",15
751135970,"YES","NO",216
1526604875,"YES","NO",85
998048649,"YES","NO",25
961432182,"NO","NO",0
1404185021,"YES","NO",107
1231846291,"NO","NO",70
677941870,"NO","NO",20
1053732956,"YES","NO",94
271917592,"YES","YES",248
787037509,"YES","NO",198
1027295850,"NO","NO",55
186711726,"NO","NO",2
1098414779,"YES","NO",75
1439165679,"YES","NO",69
1489806364,"NO","NO",0
1844434666,"YES","NO",44
62903609,"NO","NO",1
486379405,"YES","NO",23
900672290,"NO","NO",9
1915613884,"YES","NO",87
167047214,"NO","NO",22
1990630861,"NO","NO",20
1060139330,"NO","NO",46
1995548292,"YES","NO",15
1518682553,"NO","NO",2
193392224,"NO","NO",0
1058428000,"NO","NO",0
1008716395,"NO","NO",24
933275417,"YES","NO",44
604790919,"YES","NO",430
1583798978,"YES","NO",71
2032887308,"NO","NO",0
51418061,"NO","NO",3
600585152,"YES","NO",271
352275441,"YES","NO",15
940285558,"NO","NO",28
719632142,"NO","NO",15
2095634038,"NO","NO",205
1346075934,"NO","NO",1
1411822995,"NO","NO",3
568994743,"NO","NO",1
1600465176,"NO","NO",0
499318862,"NO","NO",3
782649781,"NO","NO",25
2029256518,"NO","NO",0
1933006416,"NO","NO",0
83189695,"YES","NO",4
308374726,"YES","YES",465
198697217,"NO","NO",3
899362463,"NO","NO",8
919654284,"YES","NO",72
1977995683,"NO","NO",0
1898426801,"NO","NO",2
1540282607,"NO","NO",3
968333607,"NO","NO",0
436902656,"YES","YES",27
293395542,"NO","NO",63
1769745206,"NO","NO",0
1222661487,"NO","NO",61
2009919376,"NO","NO",327
1584852564,"NO","NO",50
1257205995,"NO","NO",96
1157981924,"NO","NO",35
852951089,"YES","NO",15
1733035702,"YES","NO",21
972848359,"YES","NO",18
765434579,"YES","NO",62
2051000796,"YES","YES",33
1624456153,"NO","NO",42
400408621,"YES","NO",51
735077310,"YES","NO",44
2059958418,"NO","NO",0
1332443320,"NO","NO",44
737301510,"NO","NO",6
867686728,"NO","NO",34
243025799,"YES","NO",8
2129148071,"NO","NO",8
106745223,"NO","NO",209
770968068,"YES","NO",95
681985992,"NO","NO",116
1134216656,"NO","NO",0
2067775206,"YES","NO",74
212796427,"YES","NO",86
874800283,"YES","NO",67
73942392,"NO","NO",12
795870275,"NO","NO",0
72630059,"YES","NO",522
431176285,"NO","NO",22
62092162,"YES","NO",23
1835642140,"NO","NO",3
550423661,"NO","NO",4
979494468,"YES","NO",9
1307172736,"YES","NO",641
1632099101,"YES","NO",47
1723582601,"NO","NO",4
1770280240,"YES","NO",362
650793315,"NO","NO",0
229588997,"NO","NO",0
1743035842,"YES","YES",66
239143309,"YES","NO",129
1026390886,"NO","NO",11
1442249134,"NO","NO",5
620238903,"NO","NO",76
1090301320,"NO","NO",21
685396994,"NO","NO",0
1684998740,"NO","NO",27
423223158,"YES","NO",329
1512848564,"YES","NO",122
1530508669,"YES","NO",164
494328400,"YES","NO",18
905668423,"NO","NO",105
1945060496,"YES","YES",114
50320503,"YES","NO",158
981588323,"NO","NO",8
46441137,"NO","NO",3
558434412,"YES","NO",103
1390442250,"YES","NO",227
793310266,"NO","NO",2
804592503,"YES","NO",59
1498592967,"NO","NO",10
1971999592,"NO","NO",110
1053900282,"NO","NO",24
1264966864,"NO","NO",186
1640474254,"NO","NO",33
630578555,"YES","NO",361
933754281,"YES","NO",24
1950150789,"NO","NO",130
1419157782,"NO","NO",17
1498932753,"NO","NO",2
1783251349,"NO","NO",64
1825650610,"NO","NO",69
1497164359,"NO","NO",0
574699062,"NO","NO",6
914055165,"NO","NO",20
1557768097,"NO","NO",1
1768481660,"YES","NO",24
1463730553,"YES","NO",329
2101629646,"NO","NO",13
1434285163,"YES","NO",42
1303213708,"NO","NO",4
1137252380,"YES","NO",129
477878021,"YES","NO",32
95113152,"YES","NO",71
18342085,"NO","NO",0
1618845868,"NO","NO",45
1500466535,"NO","NO",0
1679378534,"YES","NO",6
273073546,"NO","NO",21
1536388461,"YES","NO",187
1660178784,"NO","NO",4
1508801155,"NO","NO",0
1143000702,"YES","NO",30
1542811187,"YES","YES",16
641394444,"NO","NO",9
1041543197,"YES","NO",52
1406000251,"NO","NO",30
1503196274,"NO","NO",6
418257153,"NO","NO",13
2062975739,"NO","NO",2
1342205372,"NO","NO",6
393701377,"YES","NO",369
2113397094,"NO","NO",3
452003550,"NO","NO",6
1334692205,"YES","NO",14
595361658,"NO","NO",0
601268818,"NO","NO",4
1095620477,"NO","NO",15
1702641057,"YES","NO",107
1266811052,"YES","YES",12840
1822427331,"NO","NO",3
1716708404,"NO","NO",7
13812988,"YES","YES",57
2083540769,"YES","YES",263
347697445,"YES","YES",46
96151077,"YES","NO",33
1160874668,"NO","NO",3
231471007,"YES","NO",34
576273630,"YES","NO",52
693690131,"YES","NO",36
474604490,"YES","NO",87
636249985,"NO","NO",28
294520326,"YES","NO",191
1124758633,"NO","NO",2
1850045131,"NO","NO",90
384535164,"NO","NO",21
